Address  Disassembly                                     String                                                                                                                                                                                                                                                                                   
772900C7 push ntdll.772900D5                             "[Pj"
773001EE push ntdll.772A2C66                             "d:\\w7rtm\\minkernel\\ntdll\\ldrfind.c"
7730027E push ntdll.772A2946                             "Status: 0x%08lx\n"
77300285 push ntdll.772A2DD0                             "LdrpFindLoadedDll"
7730028F push ntdll.772A2C66                             "d:\\w7rtm\\minkernel\\ntdll\\ldrfind.c"
773002DA push ntdll.772A312A                             "Could not locate the init routine for the shim engine DLL\n"
773002E0 push ntdll.772A310C                             "LdrpRunShimEngineInitRoutine"
773002EA push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
7730031B push ntdll.772A317A                             "Process 0x%x (%wZ) exiting\n"
77300322 push ntdll.772A3166                             "LdrShutdownProcess"
7730032C push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
77300472 push ntdll.772A3352                             "Could not locate procedure \"%s\" in the shim engine DLL\n"
77300478 push ntdll.772A3336                             "LdrpGetShimEngineInterface"
77300482 push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
773004C4 push ntdll.772A3458                             "Loading the shim engine DLL \"%wZ\" failed with status 0x%08lx\n"
773004CA push ntdll.772A3444                             "LdrpLoadShimEngine"
773004D4 push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
7730050C push ntdll.772A340C                             "The init routine for the shim engine DLL \"%wZ\" failed\n"
77300512 push ntdll.772A3444                             "LdrpLoadShimEngine"
7730051C push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
7730055B push ntdll.772A28A6                             L"ExecuteOptions"
77300585 push ntdll.772A364C                             L"DisableExceptionChainValidation"
77300611 push ntdll.772A3622                             L"DisableHeapLookaside"
77300626 push ntdll.772A3606                             L"ShutdownFlags"
7730063A push ntdll.772A35D2                             L"MinimumStackCommitInBytes"
7730066D push ntdll.772A35BC                             L"GlobalFlag"
773006B1 push ntdll.772A35BC                             L"GlobalFlag"
77300713 push ntdll.772A357A                             "Initializing the app verifier package failed with status 0x%08lx\n"
77300719 push ntdll.772A355A                             "LdrpInitializeExecutionOptions"
77300723 push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
77300756 push dword ptr ds:[edi+77300934]                &L"ShowRecursiveDllLoads"
7730078B push ntdll.772A3526                             L"MaxDeadActivationContexts"
773007AE push ntdll.772A34FA                             L"UnloadEventTraceDepth"
773007D1 push ntdll.772A34E0                             L"TracingFlags"
7730082B push ntdll.772A35BC                             L"GlobalFlag"
77300894 push ntdll.772A3496                             "Initializing the application verifier package failed with status 0x%08lx\n"
7730089A push ntdll.772A355A                             "LdrpInitializeExecutionOptions"
773008A4 push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
77300A27 push ntdll.772A3C84                             "Initializing the execution options for the process %lx failed with status 0x%08lx\n"
77300A2D push ntdll.772A3C6E                             "LdrpInitializeProcess"
77300A37 push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
77300A6E push ntdll.772A3C52                             "Initializing process 0x%lx\n"
77300AF9 push ntdll.772A3C0E                             "Applying WOW64 fixups to the executable failed with status 0x%08lx\n"
77300BD4 push ntdll.772A3BD8                             L"StackTraceDatabaseSizeInMb"
77300C23 push ntdll.772A3BB2                             "Stack trace database size is %ld Mb\n"
77300C2A push ntdll.772A3C6E                             "LdrpInitializeProcess"
77300C34 push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
77300C9C push ntdll.772A3B90                             "Creating the process heap failed\n"
77300CA2 push ntdll.772A3C6E                             "LdrpInitializeProcess"
77300CAC push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
77300CEC push ntdll.772A3A48                             L"DebugProcessHeapOnly"
77300D1C mov eax,dword ptr ds:[773866C0]                 ",C8w"
77300D8A mov dword ptr ds:[773801A4],eax                 &L"C:\\Users\\ADMIN\\AppData\\Local\\msacm32;;C:\\Windows\\system32;C:\\Windows\\system;C:\\Windows;.;C:\\Windows\\system32;C:\\Windows;C:\\Windows\\System32\\Wbem;C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\"
77300DB0 mov edx,dword ptr ds:[773801A4]                 &L"C:\\Users\\ADMIN\\AppData\\Local\\msacm32;;C:\\Windows\\system32;C:\\Windows\\system;C:\\Windows;.;C:\\Windows\\system32;C:\\Windows;C:\\Windows\\System32\\Wbem;C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\"
77300E15 push ntdll.772A39FE                             "Querying the known DLL directory link object failed with status 0x%08lx\n"
77300E1B push ntdll.772A3C6E                             "LdrpInitializeProcess"
77300E25 push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
77300E40 push ntdll.772A39B6                             "Opening the known DLL directory link object failed with status 0x%08lx\n"
77300E46 push ntdll.772A3C6E                             "LdrpInitializeProcess"
77300E50 push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
77300EAA push ntdll.772A3974                             "Allocating a buffer to hold the current working directory failed\n"
77300EB0 push ntdll.772A3C6E                             "LdrpInitializeProcess"
77300EC8 mov esi,7FFE0030                                L"C:\\Windows"
77300F1E push ntdll.772A393A                             "Allocating a data table entry for the executable failed\n"
77300F24 push ntdll.772A3C6E                             "LdrpInitializeProcess"
77300F2E push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
77300F7D push ntdll.772A3900                             "Allocating a data table entry for the system DLL failed\n"
77300F83 push ntdll.772A3C6E                             "LdrpInitializeProcess"
77300FB5 mov eax,dword ptr ds:[773800C8]                 "0$W"
77300FC2 push ntdll.772A389E                             "Beginning execution of %wZ (%wZ)\n\tCurrent directory: %wZ\n\tSearch path: %wZ\n"
77300FC9 push ntdll.772A3C6E                             "LdrpInitializeProcess"
77300FD3 push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
77301004 push ntdll.772A3856                             "Initializing the current directory to \"%wZ\" failed with status 0x%08lx\n"
7730100B push ntdll.772A3C6E                             "LdrpInitializeProcess"
77301015 push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
77301072 push ntdll.772A380E                             "Allocating a data table entry for the application verifier DLL failed\n"
77301078 push ntdll.772A3C6E                             "LdrpInitializeProcess"
77301142 mov ecx,dword ptr ds:[773800C8]                 "0$W"
77301150 mov ecx,dword ptr ds:[773800C8]                 "0$W"
77301168 mov eax,dword ptr ds:[773800C8]                 "0$W"
77301181 push ntdll.772A2D98                             "LDR"
773011DA push ntdll.772A37DA                             "Initializing TLS slots failed with status 0x%08lx\n"
773011E1 push ntdll.772A3C6E                             "LdrpInitializeProcess"
77301209 push ntdll.772A3786                             "Locating procedure \"%Z\" in Windows subsystem DLL \"%wZ\" failed with status 0x%08lx\n"
77301210 push ntdll.772A3C6E                             "LdrpInitializeProcess"
7730121A push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
77301244 push ntdll.772A3786                             "Locating procedure \"%Z\" in Windows subsystem DLL \"%wZ\" failed with status 0x%08lx\n"
7730124B push ntdll.772A3C6E                             "LdrpInitializeProcess"
77301255 push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
773012A9 push ntdll.772A3726                             "Walking the import tables of the executable and its static imports failed with status 0x%08lx\n"
773012AF push ntdll.772A3C6E                             "LdrpInitializeProcess"
773012FB push ntdll.772A36E6                             "Loading Windows subsystem DLL \"%wZ\" failed with status 0x%08lx\n"
77301302 push ntdll.772A3C6E                             "LdrpInitializeProcess"
7730130C push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
77301389 push ntdll.772A368C                             "Running the init routines of the executable's static imports failed with status 0x%08lx\n"
77301390 push ntdll.772A3C6E                             "LdrpInitializeProcess"
773013BC push ntdll.772A32FA                             L"DisableUserModeCallbackFilter"
7730142A push ntdll.772A304E                             "Process initialization failed with status 0x%08lx\n"
77301431 push ntdll.772A3D1C                             "_LdrpInitialize"
7730143B push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
77301534 push ntdll.772A3CEC                             "Delaying execution failed with status 0x%08lx\n"
7730153B push ntdll.772A3D1C                             "_LdrpInitialize"
77301545 push ntdll.772A3010                             "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
77301944 push ntdll.772A408E                             "DLL name: %s DLL path: %wZ\n"
7730194B push ntdll.772A4078                             "LdrpLoadImportModule"
77301952 push ntdll.772A3FEE                             "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
773019E9 push ntdll.772A404C                             "DLL name %wZ was redirected to %wZ by SxS.\n"
773019F0 push ntdll.772A4078                             "LdrpLoadImportModule"
773019FA push ntdll.772A3FEE                             "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
77301A4F push ntdll.772A4012                             "Loading DLL %wZ from path %wZ failed with status 0x%08lx\n"
77301A56 push ntdll.772A4078                             "LdrpLoadImportModule"
77301A60 push ntdll.772A3FEE                             "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
77301AEC push ntdll.772A2958                             "SxS redirection of DLL %wZ failed with status 0x%08lx\n"
77301AF2 push ntdll.772A4078                             "LdrpLoadImportModule"
77301AFC push ntdll.772A3FEE                             "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
77301B31 push ntdll.772A2946                             "Status: 0x%08lx\n"
77301B38 push ntdll.772A4078                             "LdrpLoadImportModule"
77301B42 push ntdll.772A3FEE                             "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
77301B6B push ntdll.772A4214                             "Hint index 0x%lx for procedure \"%s\" in DLL \"%s\" is invalid\n"
77301B72 push ntdll.772A4206                             "LdrpSnapThunk"
77301B7C push ntdll.772A3FEE                             "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
77301BD0 push ntdll.772A41CE                             "Ordinal 0x%lx could not be located in DLL \"%s\"\n"
77301BD7 push ntdll.772A4206                             "LdrpSnapThunk"
77301BF1 push ntdll.772A419C                             "Procedure \"%s\" could not be located in DLL \"%s\"\n"
77301BF8 push ntdll.772A4206                             "LdrpSnapThunk"
77301C02 push ntdll.772A3FEE                             "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
77301C24 mov eax,ntdll.772A41FE                          "Unknown"
77301CEC push ntdll.772A4266                             "%s loaded DLL \"%wZ\" (new reference count: 0x%lx)\n"
77301CF3 push ntdll.772A4250                             "LdrpUpdateLoadCount2"
77301CFD push ntdll.772A3FEE                             "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
77301D3E push ntdll.772A42BA                             "LdrpFixupIATForRelocatedImport"
77301D7C push ntdll.772A42E6                             "DLL \"%wZ\" does not contain an export table\n"
77301D83 push ntdll.772A42DA                             "LdrpSnapIAT"
77301D8D push ntdll.772A3FEE                             "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
77301DBC push ntdll.772A42DA                             "LdrpSnapIAT"
77301DEE push ntdll.772A4492                             "DLL \"%wZ\" is bound to \"%s\"\n"
77301E2D push ntdll.772A443E                             "Loading \"%ws\" from the bound import table of DLL \"%wZ\" failed with status 0x%08lx\n"
77301E60 push ntdll.772A43EE                             "Recording a static link from DLL \"%wZ\" to DLL \"%wZ\" failed with status 0x%08lx\n"
77301E99 push ntdll.772A43C2                             "DLL \"%wZ\" is bound via forwarders to \"%s\"\n"
77301F11 push ntdll.772A4368                             "Recording a static forwarder link from DLL \"%wZ\" to DLL \"%wZ\" failed with status 0x%08lx\n"
77301F79 push ntdll.772A4312                             "Snapping the invalid bindings from DLL \"%wZ\" to DLL \"%wZ\" failed with status 0x%08lx\n"
77301FE1 push ntdll.772A4572                             "DLL \"%wZ\" imports \"%s\"\n"
7730201E push ntdll.772A4524                             "Loading \"%ws\" from the import table of DLL \"%wZ\" failed with status 0x%08lx\n"
77302068 push ntdll.772A43EE                             "Recording a static link from DLL \"%wZ\" to DLL \"%wZ\" failed with status 0x%08lx\n"
77302094 push ntdll.772A44D6                             "Snapping the imports from DLL \"%wZ\" to DLL \"%wZ\" failed with status 0x%08lx\n"
773020FA push ntdll.772A4610                             "Probing for the manifest of DLL \"%wZ\" failed with status 0x%08lx\n"
77302100 push ntdll.772A45F6                             "LdrpProcessStaticImports"
7730210A push ntdll.772A3FEE                             "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
77302149 push ntdll.772A45B2                             "Querying the active activation context failed with status 0x%08lx\n"
7730214F push ntdll.772A45F6                             "LdrpProcessStaticImports"
77302159 push ntdll.772A3FEE                             "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
77302266 push ntdll.772A4702                             "LdrpAllocateTlsEntry"
77302366 push ntdll.772A4718                             "LdrpHandleTlsData"
7730255A push ntdll.772A4900                             "RTL: Acquire Shared Sem Timeout %d(%I64u secs)\n"
77302569 push ntdll.772A48E0                             "RTL: Resource at %p\n"
77302586 push ntdll.772A48C0                             "RTL: Re-Waiting\n"
77302648 push ntdll.772A4930                             "RTL: Acquire Exclusive Sem Timeout %d (%I64u secs)\n"
77302657 push ntdll.772A48E0                             "RTL: Resource at %p\n"
77302674 push ntdll.772A48C0                             "RTL: Re-Waiting\n"
773027D9 push ntdll.772A4A90                             "RTL: Enter Critical Section Timeout (%I64u secs) %d\n"
77302809 push ntdll.772A4A40                             "RTL: Pid.Tid %x.%x, owner tid %x Critical Section %p - ContentionCount == %lu\n"
77302846 push ntdll.772A48C0                             "RTL: Re-Waiting\n"
77302A7A push ntdll.772A4D50                             "Initialization stack trace. Use dps to dump it if non-NULL."
77302A8F push ntdll.772A4D20                             "Critical section debug info address"
77302A95 push ntdll.772A4D00                             "Critical section address"
77302A9B push ntdll.772A4CD0                             "undeleted critical section in freed memory"
77302AFD push ntdll.772A4D50                             "Initialization stack trace. Use dps to dump it if non-NULL."
77302B12 push ntdll.772A4C90                             "Address of the debug info found in the active list."
77302B18 push ntdll.772A4C50                             "Invalid debug info address of this critical section"
77302B21 push ntdll.772A4D00                             "Critical section address"
77302B2A push ntdll.772A4C30                             "corrupted critical section"
77302B46 push ntdll.772A4BE0                             "Second initialization stack trace. Use dps to dump it if non-NULL."
77302B5C push ntdll.772A4B90                             "First initialization stack trace. Use dps to dump it if non-NULL."
77302B71 push ntdll.772A4C90                             "Address of the debug info found in the active list."
77302B77 push ntdll.772A4B70                             "Critical section address."
77302B80 push ntdll.772A4B30                             "double initialized or corrupted critical section"
77302BA4 push ntdll.772A4D50                             "Initialization stack trace. Use dps to dump it if non-NULL."
77302BB9 push ntdll.772A4D20                             "Critical section debug info address"
77302BBF push ntdll.772A4D00                             "Critical section address"
77302BC5 push ntdll.772A4B10                             "Thread identifier"
77302BCB push ntdll.772A4AD0                             "Thread is in a state in which it cannot own a critical section"
77302E0B push 1F0000                                     L"rige)"
773038C6 push ntdll.772A62D4                             L"ASqmManifest_%x"
77303E0B push ntdll.772A64AE                             "This != NULL"
77303E15 push ntdll.772A6488                             "d:\\w7rtm\\minkernel\\ntdll\\sxsisol.cpp"
77303E1A push ntdll.772A646C                             "Internal error check failed"
77303E2E push ntdll.772A63FC                             "(This->PrivateDynamicallyAllocatedString == NULL) || (This->PrivateDynamicallyAllocatedString->Buffer == NULL)"
77303E3A push ntdll.772A63BE                             "rUS.Length <= This->PrivatePreallocatedString->MaximumLength"
77303E44 push ntdll.772A6488                             "d:\\w7rtm\\minkernel\\ntdll\\sxsisol.cpp"
77303E49 push ntdll.772A646C                             "Internal error check failed"
77303F26 push ntdll.772A656C                             "sxsisol_SearchActCtxForDllName"
77303F37 push ntdll.772A652C                             "[%x.%x] SXS: %s - Relative redirection plus env var expansion.\n"
77303F60 push ntdll.772A64D8                             "!(askd.Flags & ACTIVATION_CONTEXT_SECTION_KEYED_DATA_FLAG_FOUND_IN_SYSTEM_DEFAULT)"
773040C2 push ntdll.772A64BC                             "Status != STATUS_NOT_FOUND"
773040CC push ntdll.772A6488                             "d:\\w7rtm\\minkernel\\ntdll\\sxsisol.cpp"
773040D1 push ntdll.772A646C                             "Internal error check failed"
77304292 push ntdll.772A658C                             "Status != STATUS_SXS_SECTION_NOT_FOUND"
7730429C push ntdll.772A6488                             "d:\\w7rtm\\minkernel\\ntdll\\sxsisol.cpp"
773042A1 push ntdll.772A646C                             "Internal error check failed"
773042CF push ntdll.772A675C                             "SXS: Activation context data at %p has TOC header too small (%lu)\n"
773042E6 push ntdll.772A6682                             "SXS: Activation context data at %p has assembly roster header too small (%lu)\n"
773042FD push ntdll.772A67D4                             "RtlCreateActivationContext"
77304302 push ntdll.772A67A0                             "SXS: %s() passed the empty activation context data\n"
773044F8 push ntdll.772A689A                             "RtlDeactivateActivationContext"
773044FD push ntdll.772A686C                             "SXS: %s() called with invalid flags 0x%08lx\n"
77304519 push ntdll.772A689A                             "RtlDeactivateActivationContext"
7730451E push ntdll.772A6836                             "SXS: %s() called with invalid cookie type 0x%08I64x\n"
7730453A push ntdll.772A689A                             "RtlDeactivateActivationContext"
7730453F push ntdll.772A67F0                             "SXS: %s() called with invalid cookie tid 0x%08I64x - should be %08lx\n"
773046AE push ntdll.772A68FE                             "RtlDeactivateActivationContextUnsafeFast"
773046B3 push ntdll.772A68BA                             "SXS: %s() Active frame is not the frame being deactivated %p != %p\n"
773047D2 push ntdll.772A6A00                             "RtlpFindActivationContextSection_CheckParameters"
773047D7 push ntdll.772A699A                             "SXS: %s() flags contains return_flags but they don't fit in size, return invalid_parameter 0x%08lx.\n"
773047E4 push ntdll.772A6A00                             "RtlpFindActivationContextSection_CheckParameters"
773047E9 push ntdll.772A6928                             "SXS: %s() flags contains return_assembly_metadata but they don't fit in size, return invalid_parameter 0x%08lx.\n"
7730484B push ntdll.772A6AF0                             "RtlpFindUnicodeStringInSection: Unsupported hash algorithm %lu found in string section.\n"
7730486E push ntdll.772A6AAA                             "SXS: String hash collision chain offset at %p (= %ld) out of bounds\n"
7730488B push ntdll.772A6A32                             "SXS: String hash table entry at %p has invalid key offset (= %ld)\n   Header = %p; Index = %lu; Bucket = %p; Chain = %p\n"
77304A19 push ntdll.772A6D92                             "SXS/RTL: Extended TOC offset (%ld) is outside bounds of activation context data (%lu bytes)\n"
77304A52 push ntdll.772A6CFE                             "SXS/RTL: Extended TOC entry array (starting at offset %ld; count = %lu; entry size = %u) is outside bounds of activation context data (%lu bytes)\n"
77304AC5 push ntdll.772A6C8A                             "SXS/RTL: Extended TOC section TOC %d (offset: %ld, size: %u) is outside activation context data bounds (%lu bytes)\n"
77304AD5 push ntdll.772A6C0A                             "SXS/RTL: TOC entry array (offset: %ld; count = %lu; entry size = %u) is outside bounds of activation context data (%lu bytes)\n"
77304B28 push ntdll.772A6BA0                             "SXS/RTL: Section found (offset %ld; length %lu) extends past end of activation context data (%lu bytes)\n"
77304B34 push ntdll.772A6B4A                             "SXS/RTL: Activation context data at %p too small; TotalSize = %lu; HeaderSize = %lu\n"
77304C68 push ntdll.772A6DF0                             "RtlFindActivationContextSectionString() found section at %p (length %lu) which is not a string section\n"
77304CA1 push ntdll.772A6E58                             "RtlFindActivationContextSectionGuid() found section at %p (length %lu) which is not a GUID section\n"
77304D59 push ntdll.772A738E                             "RtlpCrackActivationContextStringSectionHeader"
77304D5E push ntdll.772A730C                             "SXS: %s() passed string section at %p only %lu bytes long; that's not even enough for the 4-byte magic and 4-byte header length!\n"
77304D67 push ntdll.772A738E                             "RtlpCrackActivationContextStringSectionHeader"
77304D6C push ntdll.772A72AE                             "SXS: %s() found assembly information section with wrong magic value\n   Expected %lu; got %lu\n"
77304D88 push ntdll.772A738E                             "RtlpCrackActivationContextStringSectionHeader"
77304D8D push ntdll.772A7238                             "SXS: %s() passed string section at %p claims %lu byte header size; that doesn't even include the HeaderSize member!\n"
77304DAB push ntdll.772A738E                             "RtlpCrackActivationContextStringSectionHeader"
77304DB0 push ntdll.772A71D2                             "SXS: %s() passed string section at %p with too small of a header\n   HeaderSize: %lu\n   Required: %lu\n"
77304DBA push ntdll.772A738E                             "RtlpCrackActivationContextStringSectionHeader"
77304DBF push ntdll.772A7132                             "SXS: %s() found assembly information section with element list overlapping section header\n   Section header: %p\n   Header Size: %lu\n   ElementListOffset: %lu\n"
77304DC9 push ntdll.772A738E                             "RtlpCrackActivationContextStringSectionHeader"
77304DCE push ntdll.772A708A                             "SXS: %s() found assembly information section with search structure overlapping section header\n   Section header: %p\n   Header Size: %lu\n   SearchStructureOffset: %lu\n"
77304DD8 push ntdll.772A738E                             "RtlpCrackActivationContextStringSectionHeader"
77304DDD push ntdll.772A6FEE                             "SXS: %s() found assembly information section with user data overlapping section header\n   Section header: %p\n   Header Size: %lu\n   User Data Offset: %lu\n"
77304DE8 push ntdll.772A738E                             "RtlpCrackActivationContextStringSectionHeader"
77304DED push ntdll.772A6F6E                             "SXS: %s() found assembly information section with user data too small\n   Section header: %p\n   UserDataSize: %lu; needed: %lu\n"
77304E05 push ntdll.772A738E                             "RtlpCrackActivationContextStringSectionHeader"
77304E0A push ntdll.772A6EBC                             "SXS: %s() found assembly information section with user data extending beyond section data\n   Section header: %p\n   UserDataSize: %lu\n   UserDataOffset: %lu\n   Section size: %lu\n"
77304E8A push ntdll.772A73F8                             "RtlpQueryInformationActivationContextBasicInformation"
77304E8F push ntdll.772A73BC                             "SXS: %s() received invalid non-zero sub-instance index %lu\n"
77304EC3 push ntdll.772A7484                             "RtlpQueryInformationActivationContextDetailedInformation"
77304EC8 push ntdll.772A73BC                             "SXS: %s() received invalid non-zero sub-instance index %lu\n"
77304EFD push ntdll.772A7484                             "RtlpQueryInformationActivationContextDetailedInformation"
77304F02 push ntdll.772A742E                             "SXS: %s() found activation context data at %p with assembly roster that has no root\n"
77304F1F push ntdll.772A7522                             "RtlpQueryAssemblyInformationActivationContextDetailedInformation"
77304F24 push ntdll.772A74BE                             "SXS: %s() received invalid sub-instance index %lu out of %lu Assemblies in the Acitvation Context\n"
77304F84 push ntdll.772A762C                             "RtlpQueryRunLevel"
77304F89 push ntdll.772A742E                             "SXS: %s() found activation context data at %p with assembly roster that has no root\n"
77304F91 push ntdll.772A762C                             "RtlpQueryRunLevel"
77304F96 push ntdll.772A75EA                             "SXS: %s() found activation context data at %p with wrong format\n"
77304FB5 push ntdll.772A796A                             "RtlQueryInformationActivationContext"
77304FBA push ntdll.772A7936                             "SXS: %s() - Caller passed invalid flags (0x%08lx)\n"
77304FD8 push ntdll.772A796A                             "RtlQueryInformationActivationContext"
77304FDD push ntdll.772A78E4                             "SXS: %s() - Caller passed meaningless flags/class combination (0x%08lx/0x%08lx)\n"
77304FFB push ntdll.772A796A                             "RtlQueryInformationActivationContext"
77305000 push ntdll.772A78A8                             "SXS: %s() - caller asked for unknown information class %lu\n"
7730501C push ntdll.772A796A                             "RtlQueryInformationActivationContext"
77305021 push ntdll.772A785E                             "SXS: %s() - caller passed nonzero buffer length but NULL buffer pointer\n"
7730503D push ntdll.772A796A                             "RtlQueryInformationActivationContext"
77305042 push ntdll.772A7800                             "SXS: %s() - caller supplied no buffer to populate and no place to return required byte count\n"
7730505E push ntdll.772A796A                             "RtlQueryInformationActivationContext"
77305063 push ntdll.772A77A6                             "SXS: %s() - Caller asked to use activation context from address in .dll but passed NULL\n"
77305078 push ntdll.772A796A                             "RtlQueryInformationActivationContext"
7730507D push ntdll.772A7764                             "SXS: %s() - Caller passed invalid address, not in any .dll (%p)\n"
77305099 push ntdll.772A796A                             "RtlQueryInformationActivationContext"
7730509E push ntdll.772A7712                             "SXS: %s() - Caller asked to use activation context from hmodule but passed NULL\n"
773050A6 push ntdll.772A796A                             "RtlQueryInformationActivationContext"
773050AB push ntdll.772A76E2                             "SXS: %s() - Caller passed invalid hmodule (%p)\n"
773050B5 push ntdll.772A796A                             "RtlQueryInformationActivationContext"
773050BA push ntdll.772A7698                             "SXS: %s() - caller asked to use active activation context but passed %p\n"
773050F5 push ntdll.772A796A                             "RtlQueryInformationActivationContext"
773050FA push ntdll.772A763E                             "SXS: %s() - internal coding error; missing switch statement branch for InfoClass == %lu\n"
7730519F push ntdll.772A7990                             "RtlpLocateActivationContextSection() found section at %p (length %lu) which is not a string section\n"
7730525C push ntdll.772A7BD6                             "SXS: Unable to enumerate assembly storage subkey #%lu Status = 0x%08lx\n"
773052C1 push ntdll.772A7B86                             "SXS: Attempt to get storage location from subkey %wZ failed; Status = 0x%08lx\n"
773052F2 push ntdll.772A7B4E                             "SXS: Unable to open registry key %wZ Status = 0x%08lx\n"
77305369 push ntdll.772A7C82                             "RtlpInitializeAssemblyStorageMap"
7730536E push ntdll.772A7C30                             "SXS: %s() bad parameters:\nSXS:    Map        : 0x%lx\nSXS:    EntryCount : 0x%lx\n"
773053DE push ntdll.772A7DB4                             "RtlpInsertAssemblyStorageMapEntry"
773053E3 push ntdll.772A7CA4                             "SXS: %s() bad parameters\nSXS:  Map                    : %p\nSXS:  AssemblyRosterIndex    : 0x%lx\nSXS:  Map->AssemblyCount     : 0x%lx\nSXS:  StorageLocation        : %p\nSXS:  StorageLocation->Length: 0x%x\nSXS:  StorageLocation->Buffer: %p\nSXS:  OpenDirectoryHandle    : %p\n"
7730542F push ntdll.772A7FE0                             "SXS: Assembly storage resolution failing probe because combined path length does not fit in an UNICODE_STRING.\n"
77305463 push ntdll.772A7F82                             "SXS: Assembly storage resolution failing probe because attempt to allocate %u bytes failed.\n"
77305490 push ntdll.772A7F40                             "SXS: Attempt to translate DOS path name \"%S\" to NT format failed\n"
77305516 push ntdll.772A7EEE                             "SXS: Unable to open assembly directory under storage root \"%S\"; Status = 0x%08lx\n"
773055A3 push ntdll.772A7EC6                             "RtlpProbeAssemblyStorageRootForAssembly"
773055A8 push ntdll.772A7DD6                             "SXS: %s() bad parameters\nSXS:  Flags:               0x%lx\nSXS:  Root:                %p\nSXS:  AssemblyDirectory:   %p\nSXS:  PreAllocatedString:  %p\nSXS:  DynamicString:       %p\nSXS:  StringUsed:          %p\nSXS:  OpenDirectoryHandle: %p\n"
773055E4 push ntdll.772A8126                             "RtlpGetActivationContextDataStorageMapAndRosterHeader"
773055E9 push ntdll.772A80F6                             "SXS: %s() passed the empty activation context\n"
773056AD push ntdll.772A8126                             "RtlpGetActivationContextDataStorageMapAndRosterHeader"
773056B2 push ntdll.772A8050                             "SXS: %s() bad parameters:\nSXS:    Flags                : 0x%lx\nSXS:    Peb                  : %p\nSXS:    ActivationContextData: %p\nSXS:    AssemblyStorageMap   : %p\n"
773056E0 push ntdll.772A83FC                             "SXS: Assembly directory name stored in assembly information too long (%lu bytes) - ACTIVATION_CONTEXT_DATA at %p\n"
77305757 push ntdll.772A7F40                             "SXS: Attempt to translate DOS path name \"%S\" to NT format failed\n"
773057B9 push ntdll.772A83A4                             "SXS: Attempt to probe known root of assembly storage (\"%wZ\") failed; Status = 0x%08lx\n"
773057F0 push ntdll.772A8326                             "SXS: Attempt to insert well known storage root into assembly storage map assembly roster index %lu failed; Status = 0x%08lx\n"
77305841 push ntdll.772A82D8                             "SXS: Unable to resolve storage root for assembly directory %wZ in %Iu tries\n"
77305874 push ntdll.772A826E                             "SXS: Attempt to probe assembly storage root %wZ for assembly directory %wZ failed with status = 0x%08lx\n"
773058AA push ntdll.772A7EEE                             "SXS: Unable to open assembly directory under storage root \"%S\"; Status = 0x%08lx\n"
773058C0 push ntdll.772A821C                             "SXS: Storage resolution failed to insert entry to storage map; Status = 0x%08lx\n"
